100, C0 //LD #A1B2
101, F0
102, A1
103, B2
104, C2 //ST 0103
105, C0
106, 01
107, 03
108, C0 // LD (0120)
109, D0
10A, 01
10B, 20
10C, C1 // LOADL 0103
10D, C0
10E, 01
10F, 03
110, C3 // LEA 0103
111, C0
112, 06
113, 19
114, C4 // ADD 0103
115, C0
116, 01
117, 03
118, C5 // SUB 0103
119, C0
11A, 01
11B, 03
11C, C7 // OR #F000
11D, F0
11E, F0
11F, 00
120, C6 // AND #0619
121, F0
122, 06
123, 19
124, C8 // XOR #FFFF
125, F0
126, FF
127, FF
128, C9 // NEG #0619
129, F0
12A, 06
12B, 19
12C, C0 //LD #C3D4
12D, F0
12E, C3
12F, D4
130, C2 //ST 0303
131, C0
132, 03
133, 03
134, CA // SWP 0103
135, C0
136, 01
137, 03
138, 40 // JMP 0004
139, 00
13A, 04
13B, 41 // JSR 0005
13C, 00
13D, 05
13E, 82 // ASR
13F, 86 // ASL
140, 8B // INTD
141, 8A // INTE
// 142, 8C // IVTP
// 142, 8D // STVP
142, C0 // LD #1234
143, F0
144, 12
145, 34
146, C2 // ST R0
147, 00
148, C0 // LD #0304
149, F0
14A, 03
14B, 04
14C, C2 // ST R3F
14D, 3F
14E, 8E // PUSHALL
14F, C0 // LD #6969
150, F0
151, 69
152, 69
153, C2 // ST R1
154, 00
155, 8F // POPALL
156, 09 //BNEQ 1204
157, 12

16A, C2 //ST R0
16B, 40

16C, C2 //ST ++R0
16D, 80

16E, C2 //ST BRpom
16F, EF
170, FF
171, 90 // HALT


400, 40 // JMP 3B01
401, 3B
402, 01

500, 80 // RTS
